"module_name","exercise_name","exercise_url"
"Rear Delts","1-Arm DB Reverse Flye","https://www.modernmeathead.com/products/exercise-library/categories/2156454598/posts/2182762249"
"Rear Delts","1-Arm Cable Reverse Flye","https://www.modernmeathead.com/products/exercise-library/categories/2156454598/posts/2182542029"
"Rear Delts","Rear Delt Pull-Over","https://www.modernmeathead.com/products/exercise-library/categories/2156454598/posts/2186959836"
"Rear Delts","1-Arm Machine Reverse Flye","https://www.modernmeathead.com/products/exercise-library/categories/2156454598/posts/2182542030"
"Rear Delts","2-Arm Cable Reverse Flye","https://www.modernmeathead.com/products/exercise-library/categories/2156454598/posts/2182542031"
"Rear Delts","2-Arm Machine Reverse Flye","https://www.modernmeathead.com/products/exercise-library/categories/2156454598/posts/2182542032"
"Rear Delts","Low-High Cable Reverse Flye","https://www.modernmeathead.com/products/exercise-library/categories/2156454598/posts/2182542033"
"Glute Max","1-Leg Glute Leg Press","https://www.modernmeathead.com/products/exercise-library/categories/2156454536/posts/2182541665"
"Glute Max","1-Leg Glute Smith Squat","https://www.modernmeathead.com/products/exercise-library/categories/2156454536/posts/2182541666"
"Glute Max","Seated Hack Squat (glutes)","https://www.modernmeathead.com/products/exercise-library/categories/2156454536/posts/2186513095"
"Glute Max","Barbell Glute Max RDL","https://www.modernmeathead.com/products/exercise-library/categories/2156454536/posts/2182541667"
"Glute Max","DB B-Stance Hip Shift RDL This variant will bias the back half of the glutes, as in the upper glute max, much also the post...","https://www.modernmeathead.com/products/exercise-library/categories/2156454536/posts/2185494945"
"Glute Max","Glute DB Split Squat","https://www.modernmeathead.com/products/exercise-library/categories/2156454536/posts/2183906740"
"Glute Max","Glute 2-Leg Leg Press","https://www.modernmeathead.com/products/exercise-library/categories/2156454536/posts/2182541669"
"Glute Max","Glute Biased HyperExtension","https://www.modernmeathead.com/products/exercise-library/categories/2156454536/posts/2182541670"
"Glute Max","DB Glute Reverse Lunge","https://www.modernmeathead.com/products/exercise-library/categories/2156454536/posts/2183113983"
"Glute Max","DB Glute RDL","https://www.modernmeathead.com/products/exercise-library/categories/2156454536/posts/2183113967"
"Hamstrings","DB Hamstrings RDL","https://www.modernmeathead.com/products/exercise-library/categories/2156454544/posts/2183113992"
"Hamstrings","Single Leg Hamstrings RDL Cable","https://www.modernmeathead.com/products/exercise-library/categories/2156454544/posts/2184150443"
"Hamstrings","2-Leg Lying Leg Curl","https://www.modernmeathead.com/products/exercise-library/categories/2156454544/posts/2182541716"
"Hamstrings","Barbell Good-Morning","https://www.modernmeathead.com/products/exercise-library/categories/2156454544/posts/2184963445"
"Hamstrings","Barbell Hamstrings RDL","https://www.modernmeathead.com/products/exercise-library/categories/2156454544/posts/2182541717"
"Hamstrings","Single Leg Lying Leg Curl","https://www.modernmeathead.com/products/exercise-library/categories/2156454544/posts/2184565434"
"Hamstrings","Single Leg Hamstrings RDL DB","https://www.modernmeathead.com/products/exercise-library/categories/2156454544/posts/2184150445"
"Hamstrings","Hamstring Biased HyperExtension","https://www.modernmeathead.com/products/exercise-library/categories/2156454544/posts/2182541719"
"Hamstrings","Single Leg Hamstrings RDL Smith Machine","https://www.modernmeathead.com/products/exercise-library/categories/2156454544/posts/2184150447"
"Hamstrings","Seated Leg Curl","https://www.modernmeathead.com/products/exercise-library/categories/2156454544/posts/2182541720"
"Hybrid Upper Back","Rope Face Pull (middle delt)","https://www.modernmeathead.com/products/exercise-library/categories/2156454547/posts/2182724296"
"Hybrid Upper Back","Rope Face Pull (rear delt)","https://www.modernmeathead.com/products/exercise-library/categories/2156454547/posts/2182724295"
"Hybrid Upper Back","Chest-Supported Machine Upper Back Row","https://www.modernmeathead.com/products/exercise-library/categories/2156454547/posts/2182541724"
"Hybrid Upper Back","Barbell Upper Back Row","https://www.modernmeathead.com/products/exercise-library/categories/2156454547/posts/2184963446"
"Hybrid Upper Back","DB Chest-Supported Upper Back Row","https://www.modernmeathead.com/products/exercise-library/categories/2156454547/posts/2182541726"
"Hybrid Upper Back","Diverging Machine Pull-Down","https://www.modernmeathead.com/products/exercise-library/categories/2156454547/posts/2182541727"
"Hybrid Upper Back","Wide Grip Upper Back Pull-Downs","https://www.modernmeathead.com/products/exercise-library/categories/2156454547/posts/2182541728"
"Hybrid Upper Back","T-Bar Row (upper back)","https://www.modernmeathead.com/products/exercise-library/categories/2156454547/posts/2186513097"
"Hybrid Upper Back","Wide Grip Pull-Ups","https://www.modernmeathead.com/products/exercise-library/categories/2156454547/posts/2182559189"
"Hybrid Upper Back","Chest Supported Machine Retractions","https://www.modernmeathead.com/products/exercise-library/categories/2156454547/posts/2184875112"
"Hybrid Lower Press","Barbell Split Squats","https://www.modernmeathead.com/products/exercise-library/categories/2156454553/posts/2182541742"
"Hybrid Lower Press","Single Leg Hack Squat","https://www.modernmeathead.com/products/exercise-library/categories/2156454553/posts/2184565433"
"Hybrid Lower Press","Barbell Squats hybrid","https://www.modernmeathead.com/products/exercise-library/categories/2156454553/posts/2182541743"
"Hybrid Lower Press","Hack Squat","https://www.modernmeathead.com/products/exercise-library/categories/2156454553/posts/2182541744"
"Hybrid Lower Press","SSB Hybrid Split Squat","https://www.modernmeathead.com/products/exercise-library/categories/2156454553/posts/2184875110"
"Hybrid Lower Press","Smith Squat","https://www.modernmeathead.com/products/exercise-library/categories/2156454553/posts/2182541745"
"Hybrid Lower Press","1-Leg Hybrid Leg Press","https://www.modernmeathead.com/products/exercise-library/categories/2156454553/posts/2184963453"
"Hybrid Lower Press","Hybrid Leg Press","https://www.modernmeathead.com/products/exercise-library/categories/2156454553/posts/2184963455"
"Lower Lats","Floor Column Lat Pull-Down","https://www.modernmeathead.com/products/exercise-library/categories/2156454555/posts/2182762252"
"Lower Lats","1-Arm Lat Depressions","https://www.modernmeathead.com/products/exercise-library/categories/2156454555/posts/2182541751"
"Lower Lats","Bench Anchored Pull-Over","https://www.modernmeathead.com/products/exercise-library/categories/2156454555/posts/2184885635"
"Lower Lats","Neutral Lat Pull-Downs","https://www.modernmeathead.com/products/exercise-library/categories/2156454555/posts/2184875106"
"Lower Lats","Column Anchored Pull-Over","https://www.modernmeathead.com/products/exercise-library/categories/2156454555/posts/2184885637"
"Lower Lats","DB Pull-Over Keep in mind this will also target the teres major to a high degree as well as some of the lower ...","https://www.modernmeathead.com/products/exercise-library/categories/2156454555/posts/2185494999"
"Lower Lats","1-Arm Lower Lat Hammer Pull-Down","https://www.modernmeathead.com/products/exercise-library/categories/2156454555/posts/2182541753"
"Lower Lats","1-Arm Lower Lat Sagittal Pull-Down","https://www.modernmeathead.com/products/exercise-library/categories/2156454555/posts/2182541754"
"Lower Lats","1-Arm Partial Lower Lat Pull-Down","https://www.modernmeathead.com/products/exercise-library/categories/2156454555/posts/2182541755"
"Lower Lats","2-Arm Hammer Lat Pull-Down","https://www.modernmeathead.com/products/exercise-library/categories/2156454555/posts/2182541756"
"Upper Lats","1-Arm DB Lat Row","https://www.modernmeathead.com/products/exercise-library/categories/2156454556/posts/2182541768"
"Upper Lats","1-Arm Machine Upper Lat Row","https://www.modernmeathead.com/products/exercise-library/categories/2156454556/posts/2182541769"
"Upper Lats","2-Arm Foot Support Upper Lat Row","https://www.modernmeathead.com/products/exercise-library/categories/2156454556/posts/2182541770"
"Upper Lats","2-Arm Machine Upper Lat Row","https://www.modernmeathead.com/products/exercise-library/categories/2156454556/posts/2182541771"
"Upper Lats","T-Bar Row (lats)","https://www.modernmeathead.com/products/exercise-library/categories/2156454556/posts/2186513098"
"Upper Lats","Half Kneeling Machine 1-Arm Row","https://www.modernmeathead.com/products/exercise-library/categories/2156454556/posts/2182541772"
"Upper Lats","Upper Lat Cable Pull-Around","https://www.modernmeathead.com/products/exercise-library/categories/2156454556/posts/2185494952"
"Upper Lats","Chest-Supported TBAR Row (lats)","https://www.modernmeathead.com/products/exercise-library/categories/2156454556/posts/2188418863"
"Mid/Lower Pecs","Decline Cable Press-Flye bench","https://www.modernmeathead.com/products/exercise-library/categories/2156454563/posts/2182541823"
"Mid/Lower Pecs","Lower Chest Pec Deck","https://www.modernmeathead.com/products/exercise-library/categories/2156454563/posts/2184996615"
"Mid/Lower Pecs","Push-Ups Lower Chest Focus","https://www.modernmeathead.com/products/exercise-library/categories/2156454563/posts/2185494998"
"Mid/Lower Pecs","Lower Chest Standing Cable Flye","https://www.modernmeathead.com/products/exercise-library/categories/2156454563/posts/2182541824"
"Mid/Lower Pecs","Lower Pec Dips","https://www.modernmeathead.com/products/exercise-library/categories/2156454563/posts/2182541827"
"Mid/Lower Pecs","Cable Press Flye Combo","https://www.modernmeathead.com/products/exercise-library/categories/2156454563/posts/2184996617"
"Mid/Lower Pecs","Lower Pec Functional Trainer Pressdown","https://www.modernmeathead.com/products/exercise-library/categories/2156454563/posts/2182541828"
"Mid/Lower Pecs","Machine Decline Press Hammer You'll notice that I have a couple of pads behind my back. If you're using a hammer decline press...","https://www.modernmeathead.com/products/exercise-library/categories/2156454563/posts/2184996618"
"Mid/Lower Pecs","Mid-Lower Cable Chest Standing Flye","https://www.modernmeathead.com/products/exercise-library/categories/2156454563/posts/2182541829"
"Mid/Lower Pecs","Lower Chest DB Flye-Press","https://www.modernmeathead.com/products/exercise-library/categories/2156454563/posts/2186064058"
"Upper Pecs","Upper Chest Low-High Cable Flye","https://www.modernmeathead.com/products/exercise-library/categories/2156454569/posts/2189243029"
"Upper Pecs","DB Incline Flye","https://www.modernmeathead.com/products/exercise-library/categories/2156454569/posts/2182541852"
"Upper Pecs","DB Upper Chest Press","https://www.modernmeathead.com/products/exercise-library/categories/2156454569/posts/2182541853"
"Upper Pecs","Upper Chest Standing Cable Flye","https://www.modernmeathead.com/products/exercise-library/categories/2156454569/posts/2188080749"
"Upper Pecs","Single Arm Pec Deck Press","https://www.modernmeathead.com/products/exercise-library/categories/2156454569/posts/2184996616"
"Upper Pecs","Hammer Upper Chest Press","https://www.modernmeathead.com/products/exercise-library/categories/2156454569/posts/2182541855"
"Upper Pecs","Machine Upper Chest Flye","https://www.modernmeathead.com/products/exercise-library/categories/2156454569/posts/2182541856"
"Upper Pecs","Smith Upper Chest Press","https://www.modernmeathead.com/products/exercise-library/categories/2156454569/posts/2182541858"
"Upper Pecs","Upper Pec Cable Chest Flye","https://www.modernmeathead.com/products/exercise-library/categories/2156454569/posts/2182541859"
"Upper Pecs","Upper Pec Cable Chest Press","https://www.modernmeathead.com/products/exercise-library/categories/2156454569/posts/2182541860"
"Middle/Upper Traps","Cable Shrug Row w Foot Support","https://www.modernmeathead.com/products/exercise-library/categories/2156454583/posts/2182541917"
"Middle/Upper Traps","DB Trap Laterals","https://www.modernmeathead.com/products/exercise-library/categories/2156454583/posts/2182541918"
"Middle/Upper Traps","Smith Shrug Row","https://www.modernmeathead.com/products/exercise-library/categories/2156454583/posts/2182541920"
"Middle/Upper Traps","Standing Cable Shrug Row","https://www.modernmeathead.com/products/exercise-library/categories/2156454583/posts/2182541922"
"Middle/Upper Traps","Standing Cable Shrugs","https://www.modernmeathead.com/products/exercise-library/categories/2156454583/posts/2182541923"
"Middle/Upper Traps","Trap Bar Shrug Row","https://www.modernmeathead.com/products/exercise-library/categories/2156454583/posts/2182541924"
"Middle/Upper Traps","Cable Trap Raise 2-arm","https://www.modernmeathead.com/products/exercise-library/categories/2156454583/posts/2182614460"
"Middle/Upper Traps","DB Mid Trap Shrug","https://www.modernmeathead.com/products/exercise-library/categories/2156454583/posts/2182614461"
"Middle/Upper Traps","Barbell Kelso Shrugs","https://www.modernmeathead.com/products/exercise-library/categories/2156454583/posts/2196077713"
"Quads","Sissy Squat","https://www.modernmeathead.com/products/exercise-library/categories/2156454592/posts/2182760991"
"Quads","Smith Sissy Squat","https://www.modernmeathead.com/products/exercise-library/categories/2156454592/posts/2182760990"
"Quads","Hack Sissy Squat","https://www.modernmeathead.com/products/exercise-library/categories/2156454592/posts/2188080748"
"Quads","1-Leg Leg Extension","https://www.modernmeathead.com/products/exercise-library/categories/2156454592/posts/2182542002"
"Quads","Pendulum Squat","https://www.modernmeathead.com/products/exercise-library/categories/2156454592/posts/2186513094"
"Quads","2-Leg Leg Extension","https://www.modernmeathead.com/products/exercise-library/categories/2156454592/posts/2182542003"
"Quads","Landmine Quad Squat","https://www.modernmeathead.com/products/exercise-library/categories/2156454592/posts/2189243031"
"Quads","Seated Hack Squat (quads)","https://www.modernmeathead.com/products/exercise-library/categories/2156454592/posts/2186513096"
"Quads","Quad Barbell Squat","https://www.modernmeathead.com/products/exercise-library/categories/2156454592/posts/2182542004"
"Quads","Quad Belt Squat","https://www.modernmeathead.com/products/exercise-library/categories/2156454592/posts/2182542005"
"Side Glutes/Hips","Glute Minimus Cable Kickout","https://www.modernmeathead.com/products/exercise-library/categories/2156454600/posts/2183347389"
"Side Glutes/Hips","Glute Medius Cable Kickback","https://www.modernmeathead.com/products/exercise-library/categories/2156454600/posts/2183347391"
"Side Glutes/Hips","Single Leg Bench Abduction","https://www.modernmeathead.com/products/exercise-library/categories/2156454600/posts/2183347390"
"Side Glutes/Hips","Seated Abductions","https://www.modernmeathead.com/products/exercise-library/categories/2156454600/posts/2182542045"
"Side Glutes/Hips","Side Glute Seated Abduction","https://www.modernmeathead.com/products/exercise-library/categories/2156454600/posts/2182542046"
"Side Glutes/Hips","Smith Sideways Hinge","https://www.modernmeathead.com/products/exercise-library/categories/2156454600/posts/2182542047"
"Side Glutes/Hips","DB Hip Airplane This variant will bias the back half of the side glutes, as in the posterior glute med and glute ...","https://www.modernmeathead.com/products/exercise-library/categories/2156454600/posts/2185494946"
"Side Glutes/Hips","Bench Anchored Glute Min Kickback","https://www.modernmeathead.com/products/exercise-library/categories/2156454600/posts/2184150455"
"Side Glutes/Hips","Cable Hip Airplane This variant will bias the back half of the side glutes, as in the posterior glute med and glute ...","https://www.modernmeathead.com/products/exercise-library/categories/2156454600/posts/2185494956"
"Side Glutes/Hips","Bench Anchored Glute Med Kickback","https://www.modernmeathead.com/products/exercise-library/categories/2156454600/posts/2184150459"
"Teres Major","1-Arm Cable Pull-Over","https://www.modernmeathead.com/products/exercise-library/categories/2156454616/posts/2182542123"
"Teres Major","2-Arm Cable Pull-Over","https://www.modernmeathead.com/products/exercise-library/categories/2156454616/posts/2182542124"
"Teres Major","Cable Pull-Over bench","https://www.modernmeathead.com/products/exercise-library/categories/2156454616/posts/2182542125"
"Teres Major","Cable Pull-Over column","https://www.modernmeathead.com/products/exercise-library/categories/2156454616/posts/2182542126"
"Front Shins (""Tibialis"")","Cable Dorsiflexion 1-leg","https://www.modernmeathead.com/products/exercise-library/categories/2156457766/posts/2182558918"
"Front Shins (""Tibialis"")","Reverse Leg Curl Dorsiflexion","https://www.modernmeathead.com/products/exercise-library/categories/2156457766/posts/2182558919"
"Rotator Cuff","Cable External Rotation 1-arm narrow","https://www.modernmeathead.com/products/exercise-library/categories/2156463670/posts/2182583120"
"Rotator Cuff","Cable External Rotation 1-arm wide","https://www.modernmeathead.com/products/exercise-library/categories/2156463670/posts/2182583121"
"Rotator Cuff","Cable Interanl Rotation 1-arm wide","https://www.modernmeathead.com/products/exercise-library/categories/2156463670/posts/2182583123"
"Rotator Cuff","Cable Internal Rotation 1-arm narrow","https://www.modernmeathead.com/products/exercise-library/categories/2156463670/posts/2182583124"
"Rotator Cuff","DB 1-Arm External Rotations knee","https://www.modernmeathead.com/products/exercise-library/categories/2156463670/posts/2182583125"
"Rotator Cuff","DB External Rotation 2-arm","https://www.modernmeathead.com/products/exercise-library/categories/2156463670/posts/2182583126"
"Rotator Cuff","DB External Rotations 1-arm","https://www.modernmeathead.com/products/exercise-library/categories/2156463670/posts/2182583127"
